gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
YBR103C-A	26	6	17	23	14
YBR103W	468	309	422	595	375
YBR104W	180	110	193	506	125
YBR105C	1397	720	727	1752	658
YBR106W	523	770	1837	1002	1172
YBR107C	94	109	168	169	117
YBR108W	537	492	599	532	489
YBR109C	1678	1509	1646	1739	1543
YBR109W-A	7	8	15	11	18
YBR110W	309	399	378	408	323
YBR111C	7460	2372	1717	5054	1889
YBR111W-A	821	486	403	764	427
YBR112C	554	528	854	619	660
YBR113W	17	22	38	28	33
YBR114W	395	420	375	410	391
YBR115C	750	600	1579	2167	1114
YBR116C	97	41	19	28	27
YBR117C	10644	6538	1546	4077	3535
YBR118W	3341	5242	6642	4298	5944
YBR119W	448	487	608	658	582
YBR120C	252	335	300	293	308
YBR121C	464	983	1303	819	1186
YBR121C-A	0	0	0	0	0
YBR122C	370	510	378	344	507
YBR123C	265	270	320	296	279
YBR124W	27	19	31	19	14
YBR125C	494	404	461	540	463
YBR126C	18143	10923	9265	14048	10964
YBR126W-A	1241	582	698	1062	541
YBR126W-B	0	0	0	0	0
YBR127C	3457	4234	4245	3518	4289
YBR128C	286	174	193	268	188
YBR129C	226	175	281	286	243
YBR130C	107	124	157	118	130
YBR131C-A	6	1	4	5	1
YBR131W	63	60	60	62	57
YBR132C	1236	900	1169	1790	1201
YBR133C	184	147	281	258	197
YBR134W	1	4	8	3	1
YBR135W	134	113	246	199	155
YBR136W	233	276	253	282	240
YBR137W	740	497	499	658	485
YBR138C	119	128	195	111	183
YBR139W	3213	2155	2194	2811	2367
YBR140C	771	701	563	726	698
YBR141C	57	57	92	77	80
YBR141W-A	12	19	24	19	14
YBR142W	87	179	197	126	182
YBR143C	642	1038	1336	892	1174
YBR144C	4	0	5	14	7
YBR145W	2020	1194	2305	5385	1584
YBR146W	625	803	697	535	838
YBR147W	2216	1461	2066	4897	1674
YBR148W	113	90	89	174	96
YBR149W	5386	3501	3549	4515	3712
YBR150C	131	161	240	235	202
YBR151W	2002	1647	1638	1770	1581
YBR152W	52	61	83	60	55
YBR153W	160	151	153	211	151
YBR154C	187	358	403	279	383
YBR155W	69	76	107	89	91
YBR156C	53	69	107	71	89
YBR157C	466	386	796	2590	766
YBR158W	375	468	597	430	396
YBR159W	492	736	792	516	700
YBR160W	346	369	596	392	443
YBR161W	373	291	260	330	277
YBR162C	886	1381	4608	1176	2481
YBR162W-A	157	179	444	213	289
YBR163W	138	161	200	176	177
YBR164C	112	162	213	128	184
YBR165W	168	150	226	326	156
YBR166C	187	234	282	278	230
YBR167C	153	130	176	199	179
YBR168W	190	183	250	253	232
YBR169C	7552	6280	3194	5061	3974
YBR170C	512	428	436	556	431
YBR171W	128	167	292	194	247
YBR172C	301	444	413	283	443
YBR173C	715	974	755	600	891
YBR174C	8	15	12	9	10
YBR175W	65	50	52	66	46
YBR176W	213	166	195	286	185
YBR177C	2317	1454	1551	1652	1461
YBR178W	33	27	41	37	29
YBR179C	475	479	423	512	535
YBR180W	15	19	56	57	44
YBR181C	306	575	778	619	762
YBR182C	186	319	576	257	473
YBR182C-A	2	2	5	3	0
YBR183W	1076	619	943	997	594
YBR184W	66	116	121	95	134
YBR185C	255	418	310	213	384
YBR186W	78	156	205	99	171
YBR187W	186	255	310	240	252
YBR188C	106	104	139	145	112
YBR189W	488	1226	2126	1137	1554
YBR190W	3	4	0	1	3
YBR191W	535	1154	1793	1393	1530
YBR191W-A	0	0	0	0	0
YBR192W	101	174	141	72	148
YBR193C	237	279	284	254	306
YBR194W	68	88	91	77	84
YBR195C	261	213	178	217	177
YBR196C	9108	15184	17080	9933	14344
YBR196C-A	4	4	13	8	2
YBR196C-B	10	11	23	16	9
